TRAIN-LOSS,VAL-LOSS,TRAIN-ACCURACY,VAL-ACCURACY
0.6849953541642593,0.6801924398832396,0.5548918640576725,0.5698702586563094
0.6774462232005455,0.6732315609826262,0.5678995057660626,0.5746632509709941
0.6755965690527643,0.6696411102302471,0.5798263745349318,0.5792083298900917
0.6694670112001095,0.66881026394449,0.5802424342376515,0.5802826212709693
0.6651935538203697,0.6682481196436215,0.581583264971288,0.583092306420957
0.6680636593138818,0.6663856108459131,0.590434495291591,0.5830096686224279
0.6665167457054532,0.6660357686963748,0.5905096806222075,0.586645731757706
0.6597358578105262,0.6654527258118098,0.5859292793343938,0.5837534088091894
0.6657918423532027,0.6647020608265356,0.5896119943982207,0.5856540781753574
0.6657817547608175,0.6641585913371285,0.5907418837180595,0.588546401123874
0.6659340794015639,0.6635342697983996,0.5934525038186848,0.5870589207503513
0.6654354090737824,0.6621839762677618,0.5932659376934186,0.593587306834146
0.665971499893925,0.6617585642356671,0.5953148239960337,0.5910255350797454
0.6615372289075211,0.6613738302505111,0.5948785617087955,0.5946615982150235
0.6631694096421439,0.6613695406033056,0.5937774100124121,0.5925956532517974
0.6608576853757757,0.6607253933644861,0.5922966605203852,0.5956532517973722
0.6575799400539436,0.6618648070773223,0.5945133685460426,0.5917692752665069
0.661293901635345,0.6615775205529145,0.5954016369843294,0.5941657714238493
0.6643019292665564,0.6606093352576988,0.5971383803397657,0.597223369969424
0.6605416589928239,0.6613793000382295,0.5965527194754855,0.5940004958267912
